TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7610203187126265 VAR: 0.00015109556115750224 F1: 0.7598068698931286 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7491781722550953 VAR: 0.0006604339596298328 F1: 0.7479172480891793 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.7597014808553271 VAR: 0.0001527191880258713 F1: 0.7582170548456202 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.7577251808021038 VAR: 0.0004517469533346161 F1: 0.7553480473456845 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.7603589430512508 VAR: 0.0006438826264081002 F1: 0.7590672609293247 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7662682758836605 VAR: 0.0006826225160268932 F1: 0.7647973706188134 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.7642958892958894 VAR: 0.0006475942986287779 F1: 0.7628267539961238 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7616621270467423 VAR: 0.0006633030195253095 F1: 0.7603859824455145 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7675871137409599 VAR: 0.0008443042579148089 F1: 0.7664009156816167 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7708822516514824 VAR: 0.0007795028398671404 F1: 0.7694251137070106 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7642998027613412 VAR: 0.00038863749863056246 F1: 0.7629175345401483 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7669335650104881 VAR: 0.0006784116904218151 F1: 0.7656423514212792 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7708939920478382 VAR: 0.0007988877629537198 F1: 0.7697982723967816 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.7583513352744122 VAR: 0.0006667668609879374 F1: 0.7566230542490481 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.3, 32) AVG: 0.7596740865971635 VAR: 0.0006034632093977086 F1: 0.7578753246336251 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.3, 32) AVG: 0.7636501674963213 VAR: 0.00022598832544092222 F1: 0.7623825485057663 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.5, 32) AVG: 0.7557293134216212 VAR: 0.0005280653187972693 F1: 0.7544480581930975 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7655912463604772 VAR: 0.0008566111639566778 F1: 0.764163996182207 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7590283647975956 VAR: 0.00043218431252980613 F1: 0.7577730575395037 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7596858269935194 VAR: 0.0005967036874984938 F1: 0.7583018189775411 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.7636384270999657 VAR: 0.0005599055829589053 F1: 0.7623951511059235 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.770209135593751 VAR: 0.0005680010201567982 F1: 0.7687137189165182 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.757713440405748 VAR: 0.00031007128889522624 F1: 0.7555083539651987 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7603276353276354 VAR: 0.0004978133646254921 F1: 0.7586594330836484 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7478397670705363 VAR: 0.0002916827428607564 F1: 0.7451447744156727 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7557410538179768 VAR: 0.000544926080559087 F1: 0.7543442373568188 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.762961397576782 VAR: 0.00048811218872666404 F1: 0.7614346909187968 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7642919758304374 VAR: 0.0003775619662513288 F1: 0.7624216790301096 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.7583904699289313 VAR: 0.0008087524746846142 F1: 0.7570889558893866 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.7643115431576971 VAR: 0.00032832696015174255 F1: 0.7630201096583448 SEED: 6399
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.7643076296922451 VAR: 0.00029115586894291835 F1: 0.7628983898801239 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7616660405121944 VAR: 0.0005862010053030521 F1: 0.760529279031441 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.755091418552957 VAR: 0.0005729883270023388 F1: 0.7537152910136835 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7596975673898752 VAR: 0.00014700609329107108 F1: 0.7577667104960546 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7656069002222848 VAR: 0.0006653234329021183 F1: 0.7642900143503688 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.759705394320779 VAR: 0.0007279966797424466 F1: 0.7582854448884756 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7544261294261295 VAR: 0.00022020989601239752 F1: 0.7530226882354625 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7577134404057482 VAR: 0.0004831029198673392 F1: 0.7564472845990478 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7564063429448045 VAR: 0.00033630783956504644 F1: 0.755092450613276 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.753103378103378 VAR: 0.000557884526343199 F1: 0.7516669182752691 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7563906890829969 VAR: 0.00048749856944894487 F1: 0.7550361062672125 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.757713440405748 VAR: 0.00028728684823576135 F1: 0.7558439321171806 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.7564063429448044 VAR: 0.00012604535742749743 F1: 0.7531234881418636 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7511309915156069 VAR: 0.0004242400671032307 F1: 0.7497225867457155 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7603393757239911 VAR: 0.00033514743659409513 F1: 0.7586456663344011 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.7550640242947935 VAR: 0.0003552756681722827 F1: 0.7532588542636021 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7524615697692619 VAR: 0.0003911128963208152 F1: 0.7511160886498419 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.7544456967533891 VAR: 0.0005363997039303432 F1: 0.7521391606793719 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.755733226887073 VAR: 0.0005418687967100552 F1: 0.7544466153882592 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.7458712939482169 VAR: 0.000800290942662816 F1: 0.7431172859118264 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7564024294793525 VAR: 0.00016708308017043098 F1: 0.7545524980530071 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7590322782630473 VAR: 0.0001734545452319574 F1: 0.7563099691717108 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7531268588960897 VAR: 0.0003120913653373743 F1: 0.7519037910366381 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7609968379199148 VAR: 0.0004514450292483355 F1: 0.7594802895114046 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7537647537647538 VAR: 0.00031617262425025764 F1: 0.7510204109109502 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7564141698757082 VAR: 0.0004566212645471764 F1: 0.7543851125916056 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.7531229454306377 VAR: 0.0005089015780001321 F1: 0.750732810296301 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.7498082401928556 VAR: 0.0006205552921192087 F1: 0.7478361889628585 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.7590322782630475 VAR: 0.0006402916074263255 F1: 0.757795166574108 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7656186406186405 VAR: 0.00043666542099349737 F1: 0.7643490517614459 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.7596780000626153 VAR: 0.0008425021169371932 F1: 0.7581840764699176 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7616738674430983 VAR: 0.0005811989958541416 F1: 0.7602491864334178 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7642880623649855 VAR: 0.0006672695675014852 F1: 0.7628758096342105 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7636345136345136 VAR: 0.0007242820670010937 F1: 0.7622408200831524 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.7596819135280674 VAR: 0.0008019961689798864 F1: 0.758539356287578 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7715201465201464 VAR: 0.0007994634311364916 F1: 0.7701165219875209 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7689137785291632 VAR: 0.0006519790437795504 F1: 0.7676656023753259 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.3, 32) AVG: 0.7688902977364516 VAR: 0.0005476425703141784 F1: 0.7676308423181053 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.3, 32) AVG: 0.7623352431044739 VAR: 0.00019402192519454446 F1: 0.7608838263200516 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.3, 32) AVG: 0.7583787295325757 VAR: 0.00026222160496772623 F1: 0.7565176458644296 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.5, 32) AVG: 0.760347202654895 VAR: 0.0003772215090920493 F1: 0.7586817706879054 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.5, 32) AVG: 0.7629770514385898 VAR: 0.00039396713109122875 F1: 0.7613242481199116 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.5, 32) AVG: 0.7656029867568328 VAR: 0.00041418391522429613 F1: 0.7645649529562303 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 128, 0.7, 32) AVG: 0.7610085783162704 VAR: 0.0006547311260869672 F1: 0.7601006975030743 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 256, 0.7, 32) AVG: 0.7649533514918131 VAR: 0.00029944712643944186 F1: 0.7635376525123194 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0005, 512, 0.7, 32) AVG: 0.7682328355405279 VAR: 0.0006364255272398419 F1: 0.766536942456181 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.3, 32) AVG: 0.7563906890829968 VAR: 0.00039912471246204416 F1: 0.7549477571484029 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.3, 32) AVG: 0.7655951598259291 VAR: 0.0004653737243331521 F1: 0.763176561657994 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.3, 32) AVG: 0.7550796781566012 VAR: 0.0003466859478273552 F1: 0.7525068203839003 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.5, 32) AVG: 0.7656186406186407 VAR: 0.0003121755377416662 F1: 0.7636264685480546 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.5, 32) AVG: 0.762969224507686 VAR: 0.0004758666966842868 F1: 0.7616048439301975 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.5, 32) AVG: 0.7577095269402963 VAR: 0.00028118658494555966 F1: 0.7559705593504231 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 128, 0.7, 32) AVG: 0.7550679377602454 VAR: 0.0005937932459006175 F1: 0.7529743741110224 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 256, 0.7, 32) AVG: 0.761681694374002 VAR: 7.767991842595772e-05 F1: 0.7598985407940222 SEED: 11287
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.001, 512, 0.7, 32) AVG: 0.767583200275508 VAR: 0.0006112498306639915 F1: 0.7660744555150896 SEED: 11287
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7596975673898752 VAR: 0.00026371535883966304 F1: 0.7583565522821875 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7616738674430982 VAR: 0.00025274081496732355 F1: 0.7604098422744285 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7597093077862308 VAR: 0.00014108213871960997 F1: 0.7583277252591247 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.7596975673898752 VAR: 0.000232592888026705 F1: 0.7584112491974209 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7616699539776463 VAR: 0.00041099354218434393 F1: 0.7603085985114754 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7629927053003976 VAR: 0.00018348392612059034 F1: 0.7618753176316564 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7603589430512508 VAR: 0.0002153912402796762 F1: 0.7593133927414321 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7603628565167027 VAR: 0.0003860714655166211 F1: 0.7593457086519215 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.754445696753389 VAR: 0.00034272038002473626 F1: 0.7532425986585486 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7550835916220531 VAR: 0.0001803325762404158 F1: 0.7531327756757908 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7511388184465108 VAR: 0.0004822053259316182 F1: 0.749953615719821 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.7537569268338499 VAR: 0.0003035386465442603 F1: 0.7515031913399477 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7610203187126264 VAR: 0.0006098732994235032 F1: 0.7590197044761683 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7596975673898752 VAR: 0.00016256732869754983 F1: 0.7580829826835481 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.7596701731317116 VAR: 0.0005601474407843361 F1: 0.7578158979463412 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7570833724679878 VAR: 0.000339821302314047 F1: 0.7553429822607044 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.759693653924423 VAR: 0.00011804401689117022 F1: 0.7577259204710226 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.7557410538179768 VAR: 0.00048305274723333975 F1: 0.7542741318435522 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.7478436805359883 VAR: 0.0003672355008833557 F1: 0.7460961546062574 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7557488807488808 VAR: 0.00022934952435377527 F1: 0.7530976325119373 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7511466453774146 VAR: 0.00022023611565507282 F1: 0.7481916228892916 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7616660405121944 VAR: 0.0006302834534213057 F1: 0.7599178907543097 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7564259102720641 VAR: 0.000241719651590134 F1: 0.7548639434205655 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7498160671237594 VAR: 0.00048458322698327654 F1: 0.7472996161138377 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.7, 32) AVG: 0.7583826429980276 VAR: 0.00040030842518542175 F1: 0.7573890977321364 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.7, 32) AVG: 0.7544456967533891 VAR: 0.0003111333988365675 F1: 0.7519537817702994 SEED: 13064
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.7, 32) AVG: 0.754445696753389 VAR: 0.0003505009977279757 F1: 0.7524578979557583 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.3, 32) AVG: 0.7616621270467424 VAR: 0.0007814987182745768 F1: 0.7600648798487071 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.3, 32) AVG: 0.7649611784227169 VAR: 0.0005604210929895549 F1: 0.7634810312557218 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.3, 32) AVG: 0.7642919758304374 VAR: 0.0005562374672007092 F1: 0.7629118460446361 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.5, 32) AVG: 0.7662604489527567 VAR: 0.0007423465737833815 F1: 0.7649745685749403 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.5, 32) AVG: 0.7649337841645534 VAR: 0.0007152324002140853 F1: 0.763634345078258 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.5, 32) AVG: 0.7662721893491123 VAR: 0.0006959718979085208 F1: 0.7652979945089662 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 128, 0.7, 32) AVG: 0.758363075670768 VAR: 0.0007304355659676646 F1: 0.7569629428635454 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 256, 0.7, 32) AVG: 0.7642880623649855 VAR: 0.0011835773981665556 F1: 0.7629350035555782 SEED: 13064
TrainShape:(1182, 768) #EPOCH: ([], 200, only_bert, 0.0001, 512, 0.7, 32) AVG: 0.7642841488995334 VAR: 0.0007792306579222608 F1: 0.7630337632609844 SEED: 13064
